 5670049,   135,  4828,    22,  7528,    30
 5680048,   130,  4807,    17,  7511,    25
 5690047,   125,  4787,    12,  7497,    22
 5700050,   120,  4766,     7,  7476,    17
 5710050,   115,  4745,     2,  7451,    11
 5720050,   110,  4713,   354,  7422,     4
 5730049,   105,  4688,   348,  7392,   357
 5740049,   100,  4670,   344,  7368,   351
 5750048,    95,  4651,   339,  7354,   347
 5760048,    90,  4631,   334,  7334,   343
 5770050,    85,  4603,   327,  7310,   337
 5780048,    80,  4577,   321,  7280,   330
 5790047,    75,  4561,   317,  7258,   324
 5800049,    70,  4545,   313,  7233,   318
 5810047,    65,  4527,   309,  7213,   313
 5820048,    60,  4503,   303,  7189,   308
 5830050,    55,  4475,   296,  7162,   301
 5840048,    50,  4452,   291,  7135,   295
 5850050,    45,  4434,   287,  7122,   291
 5860048,    40,  4417,   282,  7103,   287
 5870049,    35,  4400,   278,  7083,   282
 5880048,    30,  4382,   274,  7065,   278
 5890049,    25,  4362,   269,  7053,   275
 5900049,    20,  4341,   264,  7038,   271
 5910049,    15,  4328,   261,  7025,   268
 5920049,    10,  4312,   257,  7008,   264
 5930049,     5,  4302,   255,  6994,   260
 5940049,     0,  4282,   250,  6972,   255
 5950049,   355,  4263,   245,  6950,   250
 5960049,   350,  4240,   240,  6928,   245
 5970049,   345,  4212,   233,  6910,   240
 5980049,   340,  4185,   226,  6890,   235
 5990049,   335,  4168,   222,  6877,   232
 6000049,   330,  4150,   218,  6857,   227
 6010049,   325,  4130,   213,  6834,   222
 6020047,   320,  4100,   206,  6811,   216
 6030049,   315,  4075,   200,  6786,   210
 6040050,   310,  4057,   195,  6767,   206
 6050049,   305,  4036,   190,  6747,   201
 6060048,   300,  4016,   185,  6736,   198
 6070049,   295,  3988,   179,  6709,   192
 6080047,   290,  3959,   172,  6681,   185
 6090048,   285,  3925,   163,  6658,   179
 6100047,   280,  3902,   158,  6636,   174
 6110048,   275,  3879,   152,  6620,   170
 6120050,   270,  3857,   147,  6597,   164
 6130050,   265,  3828,   140,  6573,   159
 6140050,   260,  3807,   135,  6540,   151
 6150050,   255,  3799,   133,  6525,   147
 6160050,   250,  3779,   128,  6507,   143
 6170049,   245,  3756,   123,  6487,   138
 6180049,   240,  3734,   117,  6459,   131
 6190049,   235,  3706,   111,  6428,   124
 6200048,   230,  3684,   105,  6404,   118
 6210048,   225,  3670,   102,  6389,   114
 6220048,   220,  3654,    98,  6368,   109
 6230048,   215,  3638,    94,  6354,   106
