loop_count, encoder_angle_motor, encoder_angle_motor, angle, motor0.target_PWN[0], motor0.target_PWN[1], motor0.target_PWN[2]
03800, 0.754, 2.013, 3.126, 0.000, 0.743, 0.757
03810, 0.750, 1.971, 2.969, 0.007, 0.672, 0.821
03820, 0.718, 1.620, 2.812, 0.027, 0.596, 0.877
03830, 0.708, 1.502, 2.655, 0.058, 0.518, 0.924
03840, 0.697, 1.388, 2.498, 0.100, 0.440, 0.960
03850, 0.680, 1.198, 2.340, 0.152, 0.363, 0.985
03860, 0.662, 0.996, 2.183, 0.213, 0.289, 0.998
03870, 0.640, 0.764, 2.026, 0.280, 0.221, 0.999
03880, 0.625, 0.595, 1.869, 0.353, 0.160, 0.987
03890, 0.607, 0.397, 1.712, 0.430, 0.107, 0.964
03900, 0.599, 0.312, 1.555, 0.508, 0.063, 0.929
03910, 0.589, 0.203, 1.398, 0.586, 0.030, 0.884
03920, 0.563, 6.190, 1.241, 0.662, 0.009, 0.829
03930, 0.554, 6.098, 1.084, 0.734, 0.000, 0.766
03940, 0.550, 6.055, 0.927, 0.800, 0.004, 0.696
03950, 0.529, 5.819, 0.770, 0.859, 0.019, 0.622
03960, 0.517, 5.684, 0.613, 0.909, 0.046, 0.544
03970, 0.508, 5.591, 0.456, 0.949, 0.085, 0.466
03980, 0.498, 5.477, 0.298, 0.978, 0.134, 0.388
03990, 0.483, 5.317, 0.141, 0.995, 0.191, 0.313
04000, 0.467, 5.135, 6.267, 1.000, 0.257, 0.243
04010, 0.450, 4.950, 6.110, 0.993, 0.328, 0.179
04020, 0.431, 4.739, 5.953, 0.973, 0.404, 0.123
04030, 0.417, 4.591, 5.796, 0.942, 0.482, 0.076
04040, 0.406, 4.469, 5.639, 0.900, 0.560, 0.040
04050, 0.395, 4.351, 5.482, 0.848, 0.637, 0.015
04060, 0.364, 4.005, 5.325, 0.787, 0.711, 0.002
04070, 0.359, 3.954, 5.168, 0.720, 0.779, 0.001
04080, 0.358, 3.941, 5.011, 0.647, 0.840, 0.013
04090, 0.325, 3.574, 4.854, 0.570, 0.893, 0.036
04100, 0.318, 3.494, 4.697, 0.492, 0.937, 0.071
04110, 0.308, 3.388, 4.540, 0.414, 0.970, 0.116
04120, 0.292, 3.211, 4.382, 0.338, 0.991, 0.171
04130, 0.277, 3.047, 4.225, 0.266, 1.000, 0.234
04140, 0.260, 2.865, 4.068, 0.200, 0.996, 0.304
04150, 0.246, 2.705, 3.911, 0.141, 0.981, 0.378
04160, 0.232, 2.553, 3.754, 0.091, 0.954, 0.456
04170, 0.123, 1.359, 3.597, 0.051, 0.915, 0.534
